candidate_id,rank,score,reasoning
CAND_0073982,60,0.5124,7.0-year Data Scientist; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0098454,61,0.5115,AI Specialist bringing 6.6 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0017178,62,0.5109,4.2-year ML Engineer; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.2 yrs).
CAND_0071974,63,0.5043,7.8-year Senior AI Engineer; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0019845,64,0.5037,AI Specialist with 3.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.4 yrs).
CAND_0093912,65,0.5028,Senior Data Scientist with 5.3 years of experience; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0063736,66,0.5016,Experienced Data Scientist (3.7 yrs); strong JD skill alignment (7/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.7 yrs).
CAND_0045887,67,0.5000,Experienced Data Scientist (3.0 yrs); strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.0 yrs).
CAND_0053591,68,0.4975,AI Engineer with 5.3 years of experience; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0002120,69,0.4963,ML Engineer with 6.5 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0032887,70,0.4958,6.1-year ML Engineer; partial JD skill alignment (2/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0011327,71,0.4924,Experienced AI Research Engineer (6.3 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0078002,72,0.4921,Machine Learning Engineer bringing 6.3 years of experience; strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0015097,73,0.4914,Senior Software Engineer (ML) with 6.0 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0025640,74,0.4907,Experienced AI Research Engineer (5.6 yrs); strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; actively looking.
CAND_0061655,75,0.4899,"Machine Learning Engineer, 4.6 years in the field; strong JD skill alignment (4/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (4.6 yrs)."
CAND_0007596,76,0.4883,Junior ML Engineer bringing 4.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.4 yrs).
CAND_0069638,77,0.4860,Experienced Computer Vision Engineer (6.2 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0052682,78,0.4857,NLP Engineer with 6.6 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: inactive for 93 days.
CAND_0093763,79,0.4853,Experienced Senior Software Engineer (ML) (5.0 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0000969,80,0.4839,AI Specialist bringing 5.5 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0083879,81,0.4839,Machine Learning Engineer bringing 7.1 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0044213,82,0.4833,Experienced AI Specialist (3.7 yrs); strong JD skill alignment (5/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.7 yrs).
CAND_0065430,83,0.4831,ML Engineer bringing 4.4 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.4 yrs).
CAND_0036437,84,0.4825,Experienced Search Engineer (4.8 yrs); partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (4.8 yrs).
CAND_0018888,85,0.4811,"AI Research Engineer, 6.5 years in the field; partial JD skill alignment (2/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0024878,86,0.4805,AI Specialist with 5.7 years of experience; strong JD skill alignment (4/8 requirement buckets); 2 AI/ML-titled roles in career history; actively looking.
CAND_0024549,87,0.4787,"5.2-year AI Specialist; 2 AI/ML-titled roles in career history; based in Mumbai, Maharashtra; actively looking."
CAND_0050553,88,0.4770,ML Engineer bringing 3.6 years of experience; partial JD skill alignment (2/8 buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.6 yrs).
CAND_0077498,89,0.4766,"Senior Software Engineer (ML), 5.4 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0087778,90,0.4752,"Data Scientist, 5.8 years in the field; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; actively looking."
CAND_0015967,91,0.4746,Experienced Senior Software Engineer (ML) (5.4 yrs); strong JD skill alignment (4/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0084090,92,0.4746,Junior ML Engineer with 3.9 years of experience; strong JD skill alignment (5/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.9 yrs).
CAND_0083852,93,0.4745,6.0-year Data Scientist; strong JD skill alignment (7/8 requirement buckets); 2 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0051936,94,0.4740,AI Research Engineer with 3.9 years of experience; partial JD skill alignment (3/8 buckets); prior AI/ML-titled role; predominantly product-company background; concern: below experience threshold (3.9 yrs).
CAND_0034164,95,0.4732,Data Scientist with 3.6 years of experience; strong JD skill alignment (5/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background; concern: below experience threshold (3.6 yrs).
CAND_0005538,96,0.4729,Senior AI Engineer with 5.9 years of experience; strong JD skill alignment (5/8 requirement buckets); 4 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0024990,97,0.4725,"Junior ML Engineer, 5.2 years in the field; partial JD skill alignment (3/8 buckets); 2 AI/ML-titled roles in career history; predominantly product-company background."
CAND_0052328,98,0.4693,"Recommendation Systems Engineer, 6.5 years in the field; strong JD skill alignment (7/8 requirement buckets); prior AI/ML-titled role; predominantly product-company background."
CAND_0019159,99,0.4682,ML Engineer with 6.1 years of experience; strong JD skill alignment (6/8 requirement buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
CAND_0026716,100,0.4668,Computer Vision Engineer bringing 5.6 years of experience; partial JD skill alignment (3/8 buckets); 3 AI/ML-titled roles in career history; predominantly product-company background.
